Enemy_Quantity,10
//--------------------------------//
//ゴーレム
Wait,120
Number,1
POP,-124.309,-18.1187,-119.337
SCL,0.02,0.02,0.02
ROT,114,118,165
//--------------------------------//
//--------------------------------//
//ゴーレム
Wait,120
Number,1
POP,-256.906,-26.0947,13.26
SCL,0.02,0.02,0.02
ROT,114,118,165
//--------------------------------//
//--------------------------------//
//トカゲ
Wait,120
Number,2
POP,107.735,-24.2653,13.26
SCL,0.02,0.02,0.02
ROT,-110,0,0
//--------------------------------//
//--------------------------------//
//トカゲ
Wait,120
Number,2
POP,107.735,-21.7421,-110.497
SCL,0.02,0.02,0.02
ROT,-110,0,0
//--------------------------------//
//--------------------------------//
//トカゲ
Wait,120
Number,2
POP,290.055,-26.4906,-110.497
SCL,0.02,0.02,0.02
ROT,-110,0,0
//--------------------------------//
//--------------------------------//
//ゴーレム
Wait,120
Number,1
POP,162.983,-21.6006,-83.978
SCL,0.02,0.02,0.02
ROT,114,118,165
//--------------------------------//
//--------------------------------//
//ミニゴーレム
Wait,120
Number,3
POP,162.983,-26.5166,296.133
SCL,0.02,0.02,0.02
ROT,0,0,0
//--------------------------------//
//--------------------------------//
//ミニゴーレム
Wait,120
Number,3
POP,229.282,-26.642,145.856
SCL,0.02,0.02,0.02
ROT,0,0,0
//--------------------------------//
//--------------------------------//
//ミニゴーレム
Wait,120
Number,3
POP,24.862,-27.3804,234.254
SCL,0.02,0.02,0.02
ROT,0,0,0
//--------------------------------//
//--------------------------------//
//ミニゴーレム
Wait,120
Number,3
POP,-174.033,-26.5063,234.254
SCL,0.02,0.02,0.02
ROT,114,118,165
//--------------------------------//
