Enemy_Quantity,12
//--------------------------------//
//ゴーレム
Wait,120
Number,1
POP,-52.486,-43.3532,-145.856
SCL,0.02,0.02,0.02
ROT,114,118,165
//--------------------------------//
//--------------------------------//
//ゴーレム
Wait,120
Number,1
POP,-267.956,-43.3209,-48.619
SCL,0.02,0.02,0.02
ROT,114,118,165
//--------------------------------//
//--------------------------------//
//トカゲ
Wait,120
Number,2
POP,-135.359,-42.3461,-30.939
SCL,0.02,0.02,0.02
ROT,-110,0,0
//--------------------------------//
//--------------------------------//
//ゴーレム
Wait,120
Number,1
POP,102.21,-43.2921,-30.939
SCL,0.02,0.02,0.02
ROT,114,118,165
//--------------------------------//
//--------------------------------//
//ミニゴーレム
Wait,120
Number,3
POP,196.133,-42.1991,225.414
SCL,0.02,0.02,0.02
ROT,0,0,0
//--------------------------------//
//--------------------------------//
//ミニゴーレム
Wait,120
Number,3
POP,-190.608,-43.3379,225.414
SCL,0.02,0.02,0.02
ROT,0,0,0
//--------------------------------//
//--------------------------------//
//ミニゴーレム
Wait,120
Number,3
POP,19.337,-39.3552,225.414
SCL,0.02,0.02,0.02
ROT,114,118,165
//--------------------------------//
//--------------------------------//
//ゴーレム
Wait,120
Number,1
POP,19.337,-42.0722,101.657
SCL,0.02,0.02,0.02
ROT,-110,0,0
//--------------------------------//
//--------------------------------//
//トカゲ
Wait,120
Number,2
POP,-35.912,-42.3532,75.138
SCL,0.02,0.02,0.02
ROT,-110,0,0
//--------------------------------//
//--------------------------------//
//トカゲ
Wait,120
Number,2
POP,-223.757,-43.3373,75.138
SCL,0.02,0.02,0.02
ROT,0,0,0
//--------------------------------//
//--------------------------------//
//ミニゴーレム
Wait,120
Number,3
POP,306.63,-43.3508,163.536
SCL,0.02,0.02,0.02
ROT,114,118,165
//--------------------------------//
//--------------------------------//
//ゴーレム
Wait,120
Number,1
POP,251.381,-43.3447,-13.26
SCL,0.02,0.02,0.02
ROT,0,0,0
//--------------------------------//
